State,County,RefinedType,"(0.0, 16.0]","(16.0, 32.0]","(32.0, 64.0]","(64.0, 128.0]","(128.0, 256.0]","(256.0, 512.0]","(512.0, 1024.0]","(1024.0, 2048.0]","(2048.0, 4096.0]","(4096.0, 8192.0]","(8192.0, 16384.0]","(16384.0, inf]"
AL,Limestone,Accident,0,14,9,6,0,0,0,0,0,0,0,0
AL,Limestone,Broken,0,1,1,1,0,0,0,0,0,0,0,0
AL,Limestone,Congestion,0,0,1946,141,14,2,0,0,0,0,0,0
AL,Limestone,Construction,0,0,2,8,2,4,8,0,0,2,0,23
AL,Limestone,Incident,0,4,28,8,14,3,0,0,0,0,0,0
AL,Limestone,Lane,0,0,1,3,0,0,0,0,0,0,0,0
AL,Limestone,ALL,0,19,1987,167,30,9,8,0,0,2,0,23
AL,Lowndes,Accident,0,8,16,0,0,0,0,0,0,0,0,0
AL,Lowndes,Broken,0,3,2,0,0,0,0,0,0,0,0,0
AL,Lowndes,Congestion,0,0,714,35,0,0,0,0,0,0,0,0
AL,Lowndes,Construction,0,0,0,0,0,0,0,0,0,2,0,7
AL,Lowndes,Incident,0,2,5,3,1,0,0,0,0,0,0,0
AL,Lowndes,ALL,0,13,737,38,1,0,0,0,0,2,0,7
AL,Macon,Accident,0,23,15,1,0,0,0,0,0,0,0,0
AL,Macon,Broken,0,7,1,0,0,0,0,0,0,0,0,0
AL,Macon,Congestion,0,0,228,5,0,0,0,0,0,0,0,0
AL,Macon,Construction,0,0,1,0,0,0,2,0,0,0,1,0
AL,Macon,Incident,0,2,5,0,0,0,0,0,0,0,0,0
AL,Macon,Lane,0,0,1,0,0,0,0,0,0,0,0,0
AL,Macon,ALL,0,32,251,6,0,0,2,0,0,0,1,0
AL,Madison,Accident,0,24,13,0,0,0,0,0,0,0,0,0
AL,Madison,Broken,0,3,0,0,0,0,0,0,0,0,0,0
AL,Madison,Congestion,0,0,4422,472,19,2,0,0,0,0,0,0
AL,Madison,Construction,0,2,0,0,10,3,2,0,0,2,0,19
AL,Madison,Event,0,0,0,0,0,0,11,0,0,0,0,0
AL,Madison,Incident,0,14,50,17,0,1,0,0,0,0,0,0
AL,Madison,Lane,0,1,0,0,1,0,0,0,0,0,0,0
AL,Madison,Other,0,0,0,1,0,0,1,0,0,0,0,0
AL,Madison,ALL,0,44,4485,490,30,6,14,0,0,2,0,19
AL,Marengo,Congestion,0,1,589,45,9,5,0,0,0,0,0,0
AL,Marengo,ALL,0,1,589,45,9,5,0,0,0,0,0,0
AL,Marion,Accident,0,13,11,1,0,0,0,0,0,0,0,0
AL,Marion,Broken,0,3,0,0,0,0,0,0,0,0,0,0
AL,Marion,Congestion,0,0,348,10,0,0,0,0,0,0,0,0
AL,Marion,Construction,0,0,0,0,0,0,0,0,0,0,0,2
AL,Marion,Incident,0,0,1,0,0,0,0,0,0,0,0,0
AL,Marion,Lane,0,1,0,0,0,0,0,0,0,0,0,0
AL,Marion,ALL,0,17,360,11,0,0,0,0,0,0,0,2
AL,Marshall,Accident,0,2,2,0,0,0,0,0,0,0,0,0
AL,Marshall,Congestion,0,0,859,42,1,0,0,0,0,0,0,0
AL,Marshall,Construction,0,1,0,0,0,0,0,0,0,0,0,2
AL,Marshall,Incident,0,1,5,2,0,0,0,0,0,0,0,0
AL,Marshall,Other,0,0,0,1,0,0,0,0,0,0,0,0
AL,Marshall,ALL,0,4,866,45,1,0,0,0,0,0,0,2
AL,Mobile,Accident,0,669,842,85,1,0,0,0,0,0,0,0
AL,Mobile,Broken,0,126,75,5,1,0,0,0,0,0,0,0
AL,Mobile,Congestion,0,2,8255,551,82,14,3,0,0,0,0,0
AL,Mobile,Construction,0,9,2,0,6,30,32,2,2,2,1,3
AL,Mobile,Event,0,0,0,0,0,0,87,0,0,0,0,0
AL,Mobile,Incident,0,57,143,31,15,6,4,0,0,0,0,0
AL,Mobile,Lane,0,50,35,4,0,0,0,0,0,0,0,0
AL,Mobile,Other,0,2,0,0,0,0,0,0,0,0,0,0
AL,Mobile,ALL,0,915,9352,676,105,50,126,2,2,2,1,3
AL,Monroe,Accident,0,0,1,0,0,0,0,0,0,0,0,0
AL,Monroe,Congestion,0,0,312,29,10,0,0,0,0,0,0,0
AL,Monroe,Incident,0,0,2,0,0,0,0,0,0,0,0,0
AL,Monroe,ALL,0,0,315,29,10,0,0,0,0,0,0,0
AL,Montgomery,Accident,0,312,302,20,0,0,0,0,0,0,0,0
AL,Montgomery,Broken,0,150,51,9,0,0,0,0,0,0,0,0
AL,Montgomery,Congestion,0,1,3712,206,12,0,0,0,0,0,0,0
AL,Montgomery,Construction,0,2,0,1,1,0,8,2,1,0,0,5
AL,Montgomery,Event,0,0,0,0,0,0,73,0,0,0,0,0
AL,Montgomery,Incident,0,28,93,18,5,0,0,0,0,0,0,0
AL,Montgomery,Lane,0,14,12,3,0,0,0,0,0,0,0,0
AL,Montgomery,Other,0,0,1,0,0,0,0,0,0,0,0,0
AL,Montgomery,ALL,0,507,4171,257,18,0,81,2,1,0,0,5
AL,Morgan,Accident,0,14,8,1,0,0,0,0,0,0,0,0
AL,Morgan,Broken,0,1,0,0,0,0,0,0,0,0,0,0
AL,Morgan,Congestion,0,1,2430,209,23,4,0,0,0,0,0,0
AL,Morgan,Construction,0,2,0,0,0,2,0,0,0,1,1,2
AL,Morgan,Incident,0,8,33,20,16,3,0,0,0,0,0,0
AL,Morgan,Lane,0,2,0,0,0,0,0,0,0,0,0,0
AL,Morgan,ALL,0,28,2471,230,39,9,0,0,0,1,1,2
AL,Perry,Accident,0,2,2,0,0,0,0,0,0,0,0,0
AL,Perry,Congestion,0,0,147,2,0,0,0,0,0,0,0,0
AL,Perry,Incident,0,1,0,0,0,0,0,0,0,0,0,0
AL,Perry,ALL,0,3,149,2,0,0,0,0,0,0,0,0
AL,Pickens,Accident,0,11,10,0,0,0,0,0,0,0,0,0
AL,Pickens,Broken,0,1,0,0,0,0,0,0,0,0,0,0
AL,Pickens,Congestion,0,0,272,8,0,0,0,0,0,0,0,0
AL,Pickens,Construction,0,0,0,0,0,0,0,0,0,0,0,2
AL,Pickens,Incident,0,1,0,0,0,0,0,0,0,0,0,0
AL,Pickens,Other,0,0,0,0,1,0,0,0,0,0,0,0
AL,Pickens,ALL,0,13,282,8,1,0,0,0,0,0,0,2
