State,City,mid_lat,mid_lng,Accident,Broken,Congestion,Construction,Event,Incident,Lane,Other
AL,Centreville,32.96350916748028,-87.16053982420968,34.48888888888889,0.0,44.758333333333354,660.0,0.0,43.93333333333334,0.0,104.83333333333333
AL,Chancellor,31.183649471232002,-85.88446178547846,0.0,0.0,61.531140350877195,0.0,0.0,0.0,0.0,0.0
AL,Chatom,31.47084261778118,-88.31156067513962,0.0,0.0,51.45038759689924,0.0,0.0,0.0,0.0,0.0
AL,Chelsea,33.34808647547426,-86.62921970205566,41.945454545454545,59.61666666666667,47.608842239185726,0.0,0.0,50.57500000000001,120.0,0.0
AL,Cherokee,34.74726160006078,-87.98386477843407,28.816666666666666,0.0,43.64269005847953,0.0,0.0,0.0,0.0,0.0
AL,Chickasaw,30.768880550128312,-88.07355204296135,59.75,0.0,45.84652777777777,0.0,0.0,0.0,0.0,0.0
AL,Childersburg,33.283313378876194,-86.35051739252441,0.0,0.0,46.80714285714285,0.0,0.0,45.11666666666667,0.0,0.0
AL,Chunchula,30.94911693500527,-88.19538114230677,47.93030303030303,0.0,47.02149122807018,0.0,0.0,0.0,0.0,0.0
AL,Citronelle,31.09319865318141,-88.24136498773244,33.1875,0.0,46.486111111111136,0.0,0.0,158.96388888888887,0.0,0.0
AL,Clanton,32.84488733546116,-86.61767813355343,43.63830645161294,39.147619047619045,47.38584589614734,141154.89791666667,0.0,48.95454545454545,51.10392156862745,0.0
AL,Clayton,31.85866576324751,-85.39905639469225,0.0,0.0,45.17847222222222,0.0,0.0,0.0,0.0,0.0
AL,Cleveland,33.96877670334084,-86.5983255373363,55.1,0.0,46.086666666666666,600.0,0.0,70.22142857142858,0.0,0.0
AL,Clio,31.696400797242248,-85.5926897297595,0.0,0.0,43.60396825396826,0.0,0.0,0.0,0.0,0.0
AL,Clopton,31.612355059072346,-85.41808037761123,0.0,0.0,45.17638888888889,0.0,0.0,0.0,0.0,0.0
AL,Coaling,33.171539639632286,-87.3461491581116,0.0,0.0,45.327083333333334,0.0,0.0,0.0,0.0,0.0
AL,Coden,30.360905479006757,-88.13383140431908,54.672222222222224,0.0,48.85333333333333,0.0,0.0,124.17777777777779,0.0,0.0
AL,Coffee Springs,31.163416800395787,-85.88379039117389,0.0,0.0,81.15333333333334,0.0,0.0,0.0,0.0,0.0
AL,Coffeeville,31.763685249679835,-88.05773274747492,0.0,0.0,47.19484126984128,0.0,0.0,45.56666666666666,0.0,0.0
AL,Coker,33.25235423183442,-87.68770554642467,48.083333333333336,0.0,46.48181818181817,0.0,0.0,0.0,29.666666666666668,0.0
AL,Collinsville,34.2747245336058,-85.86501696085946,0.0,28.716666666666665,48.75148148148148,0.0,0.0,29.191666666666666,0.0,0.0
AL,Columbia,31.296668515773955,-85.12961984322055,0.0,0.0,44.20123456790124,0.0,0.0,0.0,0.0,0.0
AL,Columbiana,33.1868360090059,-86.61277867067545,65.14166666666667,29.55,45.827222222222225,0.0,0.0,28.95,29.366666666666667,0.0
AL,Coosada,32.518719,-86.33704399999999,0.0,0.0,42.333333333333336,0.0,0.0,0.0,0.0,0.0
AL,Cordova,33.744970024196455,-87.19646006110844,40.849999999999994,0.0,45.310789049919464,0.0,0.0,79.26666666666667,0.0,0.0
