State,County,"(0.0, 16.0]","(16.0, 32.0]","(32.0, 64.0]","(64.0, 128.0]","(128.0, 256.0]","(256.0, 512.0]","(512.0, 1024.0]","(1024.0, 2048.0]","(2048.0, 4096.0]","(4096.0, 8192.0]","(8192.0, 16384.0]","(16384.0, 32768.0]","(32768.0, 65536.0]","(65536.0, 131072.0]","(131072.0, 262144.0]","(262144.0, 524288.0]","(524288.0, inf]"
AR,Pope,0,9,504,25,1,0,0,0,0,0,0,0,6,5,0,0,0
AR,Prairie,0,4,514,38,9,7,2,0,0,1,0,0,2,0,0,2,0
AR,Pulaski,0,66,3894,543,42,1,93,0,0,0,0,0,15,4,0,7,0
AR,Randolph,0,0,157,46,2,0,0,0,0,1,0,0,2,1,0,1,0
AR,Saint Francis,0,0,34,4,1,2,0,0,0,0,0,0,1,0,0,1,0
AR,Saline,0,8,702,54,8,0,0,0,1,0,0,0,4,5,0,1,0
AR,Scott,0,1,246,5,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Searcy,0,0,449,26,0,0,0,0,0,0,0,0,8,2,0,0,0
AR,Sebastian,0,0,614,42,3,0,0,0,0,0,0,0,2,2,0,0,0
AR,Sevier,0,0,313,3,0,0,0,0,0,0,0,0,4,0,3,3,0
AR,Sharp,0,0,194,10,0,0,0,0,0,0,0,0,2,0,0,2,0
AR,St. Francis,0,27,1222,188,59,2,1,1,0,1,0,0,8,0,0,3,0
AR,Stone,0,0,68,4,0,0,0,0,0,0,0,0,1,0,0,0,0
AR,Union,0,2,351,14,0,0,0,0,0,0,0,3,3,0,0,4,0
AR,Van Buren,0,1,229,5,0,0,0,0,0,0,0,0,2,0,0,3,0
AR,Washington,0,8,2988,320,20,2,87,0,0,0,0,1,5,6,0,13,0
AR,White,0,2,648,31,0,0,0,0,1,0,1,0,20,2,0,1,0
AR,Woodruff,0,0,209,13,0,0,0,2,0,0,0,0,5,6,0,0,0
AR,Yell,0,0,184,7,0,0,0,0,0,0,0,0,0,1,0,0,0
AZ,ALL,2,16399,118203,11723,1730,1107,786,59,39,66,191,90,76,52,33,31,14
AZ,Apache,0,65,489,29,9,3,1,0,0,0,0,0,0,0,0,0,1
AZ,Cochise,0,56,672,9,2,1,0,0,0,0,0,0,0,0,0,0,0
AZ,Coconino,0,263,4286,355,66,12,7,3,1,0,0,1,0,0,0,1,0
AZ,Gila,0,115,2367,63,5,0,0,0,0,0,0,0,0,0,0,0,0
